タイトル	著者	出版社	価格	出版年月日
コンピュータシステム入門	白石洋一	共立出版	2940	2006-12-01
ハニー・タッカーと魔法の対決	H. P. Secret Friends	コアラブックス	1365	2003-03-01
ラッシュライフ	伊坂幸太郎	新潮社	660	2005-05-01
竜馬がゆく〈1〉	司馬 遼太郎	文芸春秋	660	1998-09-01
手ぶくろを買いに	新美南吉	偕成社	1470	1988-03-01
誰も知らない小さな国	佐藤さとる	講談社	1155	1985-02-24
アルジャーノンに花束を	ダニエル キイス,小尾 芙佐	早川書房	1575	1989-04-01
夏の夜の夢	著者：ウィリアム・シェイクスピア,翻訳者:福田恆存	新潮社	460	1971-08-03
チェーザレ・ボルジアあるいは優雅なる冷酷	塩野七生	新潮社	540	1982-09-28
NIWA	横山 裕一	イースト・プレス	1349	2009-09-14
小沢一郎の逆襲―ベールに包まれた政界再編のシナリオを読む!	龍崎 孝	サンドケー出版局	1600	1993-07-01
図書室の海	恩田陸	新潮社	500	2005-07-01
キノの旅 -the Beautiful World-	時雨沢恵一	メディアワークス	557	2000-07-10
たのしいRuby 第2版 Rubyではじめる気軽なプログラミング	高橋 征義,後藤 裕蔵	ソフトバンククリエイティブ	2730	2006-08-05
死刑の理由	井上 薫	新潮社	900	2009-09-14
魔王	伊坂幸太郎	講談社	650	2008-09-12
誰とでも15分以上 会話がとぎれない!話し方66のルール	野口 敏	すばる舎	1470	2009-07-24
黄色い目の魚	佐藤多佳子	新潮文庫	660	2005-11-01
KAT-TUNライブ・ドキュメント・フォトブック“BREAK the RECORDS”…そして今,記録を破った！	M.Co	角川グループパブリッシング	2100	2009-08-31
くるねこ丼	　	エンターブレイン	1260	2009-09-10
やさしいC	高橋　麻奈	SoftBank Creative	2625	2008-10-03
天使と悪魔(上)	ダン・ブラウン	角川文庫	620	2006-06-06
話を聞かない男、地図が読めない女	アランピーズ、バーバラピーズ	主婦の友社	700	2000-04-01
咲. v.1	小林 立	スクウェア・エニックス	505	2006-12-25
オーデュボンの祈り	伊坂幸太郎	新潮社	660	2003-12-01
祈り	宮崎あおい	ネコパブリッシング	1500	2005-11-01
デザイニング・インターフェース ―パターンによる実践的インタラクションデザイン	Jenifer Tidwell	オライリー・ジャパン	3990	2007-01-23
太公望〈上〉	宮城谷昌光	文藝春秋	740	2001-04-01
『ランチの女王』直伝 洋食レシピ	辻調理師専門学校	フジテレビ出版	1300	2002-09-01
坂の上の雲〈1〉	司馬 遼太郎	文藝春秋	670	1999-01-01
新 The UNIX Super Text [上]	山口 和紀, 古瀬 一隆	技術評論社	3654	2003-03-01
ハニータッカーと命の水晶	H. P. Secret Friends	コアラブックス	1575	2003-12-01
双子の星	宮沢賢治	偕成社	1890	1987-11-01
IC論理回路入門	西野 聡	日刊工業新聞社	2730	2002-03-01
Arduinoをはじめよう	Massimo Banzi ,船田 巧	オライリージャパン	2100	2009-03-27
サンタクロースっているんでしょうか?	ニューヨーク・サン新聞（社説）,中村妙子訳	偕成社	840	1977-12-01
「宝くじは、有楽町チャンスセンター1番窓口で買え!」は本当か?―お金で後悔しないための経済学	山本 御稔	ソフトバンククリエイティブ	735	2007-12-15
夜のピクニック	恩田陸	新潮文庫	660	2006-09-07
Googleとの闘い : 文化の多様性を守るために	ジャン‐ノエル・ジャンヌネー著,佐々木勉訳	岩波書店	1600	2007-11-01
たった1通で人を動かすメールの仕掛け	浅野 ヨシオ	青春出版社	1000	2009-08-25
雨がやんだら	椎名誠	新潮社	420	1987-11-01
パターン、Wiki、XP：時を超えた創造の原則	江渡浩一郎	技術評論社	2280	2009-07-10
穴 HOLES	ルイス サッカー, 幸田敦子	講談社	620	2006-12-15
プログラマのための論理パズル 難題を突破する論理思考トレーニング	Dennis E. Shasha, 吉平 健治	オーム社	2520	2009-03-26
終末のフール	伊坂幸太郎	集英社	1470	2006-03-24
鴨川ホルモー	万城目　学	産業編集センター	1260	2006-04-01
ユージニア	恩田陸	角川書店	1785	2005-02-03
関ヶ原〈上〉	司馬 遼太郎	新潮社	740	1974-06-01
予知夢	東野圭吾	文藝春秋	530	2003-08-01
『太陽の法』～エル・カンターレへの道	大川隆法	幸福の科学出版	2100	1997-07-01
陽気なギャングの日常と襲撃	伊坂幸太郎	ノン・ノベル	880	2006-03-01
刑事コロンボ 構想の死角	スティーヴン ボチコ	竹書房	700	2007-03-01
c言語によるアルゴリズムとデータ構造入門	東野勝治,臼田昭司,葭谷安正	森北出版株式会社	2520	2000-03-03
恋空〈上〉―切ナイ恋物語	美嘉	スターツ出版	1050	2006-10-01
螺鈿迷宮	海堂尊	角川文庫	1680	2006-11-30
宮本武蔵(1)	吉川英治	講談社	734	1989-11-01
近代ヨーロッパの誕生	玉木俊明	講談社	1575	2009-09-10
完本 管絃楽法	伊福部昭	音楽之友社	25200	2008-02-27
完全失踪マニュアル	樫村 政則	太田出版	971	1994-10-01
Ｓｗｅｅｔ　ｇｏｄｄｅｓｓ 叶美香写真集	叶恭子	メディア・クライス	4200	2006-04-01
Java Swing Hacks―今日から使える驚きのGUIプログラミング集	Joshua Marinacci (著), Chris Adamson (著), 神戸 博之 (翻訳), 島田 秋雄 (翻訳), 加藤 慶彦 (翻訳)	オライリー・ジャパン	3780	2006-04-01
ウォーレスの人魚	岩井俊二	角川書店	820	2000-10-01
お金は銀行に預けるな 金融リテラシーの基本と実践	勝間 和代	光文社	735	2007-11-16
清村くんと杉小路くんと 1巻	土塚理弘	スクウェア・エニックス	420	2001-04-01
桜井政博のゲームについて思うこと Think about the Video games	桜井政博	エンターブレイン	1050	2005-03-31
パリー・ホッター　・おちこぼれ少年魔法使い危機一髪・	KCエリス, 斎藤元彦	バジリコ	1680	2005-08-05
ウィキペディアで何が起こっているのか：変わり始めるソーシャルメディア信仰	山本 まさき, 古田 雄介	オーム社	1890	2008-09-03
風の歌を聴け	村上春樹	講談社	400	2004-09-15
ちぐはぐな部品	星新一	角川文庫	500	2006-06-20
戦闘美少女の精神分析	斎藤 環	太田出版	2100	2000-04-01
本の読み方 スロー・リーディングの実践	平野 啓一郎	PHP研究所	756	2006-08-17
リアル鬼ごっこ	山田悠介	文芸社	1050	2001-12-15
こんとあき	林明子	福音館書店	1365	1989-06-30
桜井政博のゲームについて思うこと 2巻 Think about the VIdeo Games	桜井政博	エンターブレイン	1050	2006-03-30
