タイトル	著者	出版社	価格	出版年月日
GOTH 夜の章	乙一	角川文庫	460	2005-06-25
少年は戦場へ旅立った	ゲイリー・ポールセン	あすなろ書房	1260	2005-12-01
どちらかが彼女を殺した	東野圭吾	講談社	620	1999-05-14
xゲーム	山田　悠介	幻冬舎文庫	520	2010-10-01
すベてがFになる	森博嗣	幻冬舎	735	2002-02-01
BLEACH(1)	久保　帯人	集英社	410	2002-01-05
アンダーグラウンド	村上 春樹	講談社	1090	1999-02-15
137億年の物語 宇宙が始まってから今日までの全歴史	クリストファー ロイド, Christopher Lloyd, 野中 香方子	文藝春秋	3140	2012-09-09
白い人・黄色い人	遠藤周作	NoData	380	2013-05-07
優駿<上>	宮本輝	新潮文庫	540	1989-11-28
たのしいRuby	高橋柾義, 後藤裕蔵, まつもとゆきひろ	ソフトバンククリエイティブ	2730	2010-03-31
時代が病むということ : 無意識の構造と美術	鈴木國文	日本評論社	3800	2006-01-01
ニンジャスレイヤー ネオサイタマ炎上1	ブラッドレー・ボンド, フィリップ・N・モーゼズ	エンターブレイン	1260	2012-09-29
平常心―人間関係で疲れないコツ	保坂隆	中央公論新社	740	2008-09-10
阪急電車	有川浩	幻冬舎	560	2010-08-05
我らが隣人の犯罪	宮部みゆき	文藝春秋	510	1993-01-10
ＩＣＯ―霧の城―	宮部みゆき	講談社	1890	2004-06-15
ドアD	山田悠介	幻冬舎文庫	520	2009-10-06
銀河鉄道の夜	宮沢賢治	新潮社	452	1989-06-19
子どもたちは夜と遊ぶ(上)	辻村深月	講談社	1040	2005-05-10
あまつき(1)	高山しのぶ	一迅社	580	2005-03-25
超バカの壁	養老孟司	新潮新書	714	2006-01-20
カキフライが無いなら来なかった	せきしろ、又吉直樹	幻冬舎	1365	2013-05-07
吉里吉里人 (上巻)	井上 ひさし	新潮社	746	1985-09-27
つめたいよるに	江國香織	新潮社	452	1996-05-29
統計学が最強の学問である	西内啓	ダイヤモンド社	1680	2013-01-07
サマータイムマシン・ブルース	上田 誠,進藤 良彦	竹書房文庫	619	2005-08-25
るるぶ　千葉　房総'13	千葉県	JTBパブリッシング	840	2013-03-05
午前零時のサンドリヨン（創元推理文庫）	相沢沙呼	東京創元社	798	2012-10-20
私が彼を殺した	東野圭吾	講談社	730	2002-03-15
あしながおじさん	ジーン ウェブスター	福音館書店	1785	1970-08-25
オー・ヘンリー傑作選	オー・ヘンリー , 大津 栄一郎	岩波書店	693	1979-11-16
Illustrator CS5 スーパーリファレンス for Windows	井村克也	ソーテック社	2814	2010-06-05
永遠の出口	森 絵都	集英社	580	2006-02-17
猫でもわかるゲームプログラミング 第2版	粂井 康孝	ソフトバンククリエイティブ	2940	2009-09-24
名探偵コナン1	青山剛昌	小学館	398	1994-06-01
崖の国物語〈1〉深森をこえて	ポール・スチュワート	ポプラ社	1680	2001-07-01
そして誰もいなくなった	アガサ・クリスティー	早川書房	798	2010-11-10
天使のはしご〈1〉	名木田 恵子	講談社	609	2002-05-24
スワッチのアニメここだけの話	諏訪 道彦	角川書店	1260	2013-03-23
サファイア	湊かなえ	角川春樹事務所	1575	2012-04-15
Java GUIプログラミング vol.1	大村忠史	カットシステム	3990	2001-12-01
世界のなめこ図鑑	金谷泉	エンターブレイン	998	2012-07-30
空の中（角川文庫）	有川浩	角川グループパブリッシング	740	2008-06-25
深海のYrr 〈上〉	フランク・シェッツィング	早川書房	840	2008-04-23
天使と悪魔 (上)	ダン・ブラウン	角川書店	620	2006-06-08
安心のペットボトル温灸	若林理砂	夜間飛行	1620	2014-04-15
続 遺伝的アルゴリズムと遺伝的プログラミング 使いこなせるGA,GP	平野廣美	パーソナルメディア	3800	2006-05-25
インフェルノ（上）	ダン・ブラウン.越前敏弥	角川書店	1944	2013-11-28
新版暗号技術入門 秘密の国のアリス	結城 浩	ソフトバンククリエイティブ	3240	2008-11-22
グッド・バイ	太宰治	新潮文庫	562	1972-08-01
C++とJavaでつくるニューラルネットワーク	平野 廣美	パーソナルメディア	3800	2008-06-10
ノルウェイの森	村上春樹	講談社文庫	514	2004-09-15
ドラえもん不思議サイエンス	綿引 勝美,藤子・Ｆ・不二雄	小学館	850	1993-12-01
coldrain／THE SCORE 2007-2013 〈THE REVELATION 徹底奏法解説DVD付〉	coldrain	ドレミ楽譜出版社	3564	2014-04-28
ぼくのおやつ ～おうちにあるもので作れるパンとお菓子56レシピ～	ぼく	ワニブックス	1000	2014-04-12
すごいHaskellたのしく学ぼう!	Miran Lipova	オーム社	2800	2012-05-23
ドラえもん (1)	藤子・F・不二雄	小学館	463	1974-07-31
堀さんと宮村くん 1	HERO	スクウェア・エニックス	952	2008-10-22
日常 (1)	あらゐけいいち	角川書店	583	2007-07-26
謎の転校生	眉村卓	講談社文庫	464	2013-12-13
鉄楽レトラ (1)	佐原ミズ	小学館	596	2011-10-12
実践Vim　思考のスピードで編集しよう！	Drew Neil	アスキー・メディアワークス	3024	2013-08-30
夜空と星の物語	日本星景写真協会,アマナイメージズ	パイインターナショナル	1800	2014-04-28
Cでつくるニューラルネットワーク	平野廣美	パーソナルメディア	3500	1991-03-10
ウラミズ	佐島佑	角川書店	673	2013-09-25
竜馬がゆく<1>	司馬 遼太郎	文藝春秋	679	1998-09-10
スーパー！	渡部千春	飛鳥新社	1543	2013-11-22
艦これRPG 着任ノ書 艦隊これくしょん　-艦これ-	河嶋陶一朗,冒険企画局	富士見書房	1296	2014-03-17
プログラミングコンテストチャレンジブック [第2版]　~問題解決のアルゴリズム活用力とコーディングテクニックを鍛える~	秋葉拓哉 , 岩田陽一 , 北川宜稔	マイナビ	3542	2012-01-28
ＤＴＰ 印刷 デザインの基本	柳田 寛之	玄光社	2730	2011-04-04
御鑓拝借新装版-酔いどれ小籐次留書	佐伯泰英	幻冬舎	648	2004-02-09
生存者ゼロ	安生　正	宝島社	1512	2013-01-10
TOEFLテスト英単語3800CD付 4訂版	神部孝	旺文社	2484	2014-02-25
デモナータ 1幕 ロード・ロス	ダレン・シャン	小学館	1500	2005-06-10
改訂2版 R言語逆引きハンドブック	石田基広	シーアンドアール研究所	5076	2014-04-24
暗号解読〔上〕	サイモン・シン	新潮社	680	2007-07-01
ノンタンはみがき はーみー (赤ちゃん版ノンタン)	キヨノ サチコ	偕成社	648	1989-10-16
型システム入門	Benjamin C. Pierce	オーム社	7344	2013-03-26
デモナータ 2幕 悪魔の盗人	ダレン・シャン	小学館	1500	2006-01-27
プログラミング言語C	B.W.カーニハン, D.M.リッチー, 石田晴久	共立出版	3024	1989-06-15
ノンタン もぐもぐもぐ (赤ちゃん版ノンタン)	キヨノ サチコ	偕成社	648	1987-08-27
選ばなかった冒険**光の石の伝説	岡田 淳	偕成社	1620	1997-04-01
李王	高村薫	講談社	802	1999-02-08
デモナータ 3幕 スローター	ダレン・シャン	小学館	1500	2006-08-09
シャーロック・ホームズ絹の家	アンソニー ホロヴィッツ	角川書店	1900	2013-04-30
からくりサーカス 第1巻	藤田 和日郎	小学館	390	1998-01-15
実は私は　第1巻	増田英二	秋田書房	419	2013-06-07
基礎電磁気学	山口 昌一郎	電気学会	2808	2002-01-01
「弱くても勝てます」：開成高校野球部のセオリー	高橋　秀実	新潮社	1404	2012-09-28
アナと雪の女王 (ディズニーアニメ小説版)	サラ・ネイサン著,しぶやまさこ訳	偕成社	700	2014-02-01
シャーロック・ホームズ-ガス燈に浮かぶその生涯	W・S・ベアリング=グールド	河出書房新社	864	1987-06-07
プログラミングの基礎	浅井健一	サイエンス社	2484	2007-03-28
記号論への招待	池上嘉彦	岩波書店	864	1984-03-21
ノンタン にんにん にこにこ (赤ちゃん版ノンタン)	キヨノ サチコ	偕成社	648	1987-08-27
永遠の０	百田尚樹	講談社	946	2009-07-15
CAB・GAB完全突破法! 【2015年度版】	SPIノートの会	洋泉社	1620	2013-06-04
Computer Graphics Gems JP 2013/2014 コンピュータグラフィックス技術の最前線	金森 由博, 井尻 敬, 堀田 一弘, 五十嵐 悠紀, 德吉 雄介, 安田 廉, 山本 醍田, 向井 智彦, 梅谷 信行	ボーンデジタル	2800	2013-12-26
死にぞこないの青	乙一	幻冬舎	457	2001-10-25
プロとして恥ずかしくないPhotoshopの大原則	MdN編集部	エムディエヌコーポレーション	1800	2012-08-23
ディファレンス・エンジン 上	ウィリアム・ギブスン,ブルース・スターリング	ハヤカワ文庫SF	907	2008-09-05
スバラシク実力がつくと評判の微分積分キャンパス・ゼミ―大学の数学がこんなに分かる!単位なんて楽に取れる!	馬場 敬之	マセマ出版	2484	2013-05-01
自然言語処理の基礎	奥村学	コロナ社	2268	2010-10-15
この業界・企業でこの「採用テスト」が使われている 2015年度版	SPIノートの会	洋泉社	1620	2013-09-03
基礎からの交流理論	小郷寛,石亀篤司,小亀英己	電気学会	3348	2002-03-01
犬と私の１０の約束	unknown	文藝春秋	535	2010-09-03
筑波大学(理系-一般入試) (2014年版 大学入試シリーズ)	教学社編集部	教学社	2138	2013-07-25
ルーズヴェルト・ゲーム	池井戸 潤	講談社	800	2014-04-28
新世界より 上	貴志祐介	講談社	2052	2008-01-23
小説・秒速5センチメートル	新海誠	メディアファクトリー	535	2012-10-25
DJがわかる・できる本 基礎知識からスキル、デビューまで	M.KATAE	自由現代社	1296	2008-11-05
プログラミング作法	Brian Kernighan, Rob Pike	アスキー	2940	2000-11-02
アブダラと空飛ぶ絨毯	ダイアナ・ウィン・ジョーンズ	徳間書店	1728	1997-08-01
地獄堂霊界通信 1: 完全版, 第 1 巻	香月日輪	講談社	900	2008-12-04
アルゴリズムC	R.セジウィック	近代科学者	2800	1996-09-30
魔王	伊坂幸太郎	講談社	1238	2005-04-01
工学部ヒラノ助教授の敗戦 日本のソフトウェアはなぜ敗れたのか	今野浩	青土社	1620	2012-12-19
マスタリングTCP/IP SSL/TSL編	Eric Rescoela,斎藤孝道，古森貞,鬼頭利之	オーム社	4860	2003-11-01
学編入試験対策 編入数学徹底研究 ――頻出問題と過去問題の演習――	桜井基晴	聖文新社	2800	2009-07-01
宇宙創成〔上〕	サイモン・シン	新潮社	724	2009-02-01
イラストレーター、CGデザイナーのための　人体の教室	飯島 貴志	エムディエヌコーポレーション	3200	2013-06-25
情報理論	三木成彦,吉川英機	コロナ社	2808	1999-12-01
クジラの彼	有川浩	角川文庫	596	2010-06-23
チャーメインと魔法の家	ダイアナ・ウィン・ジョーンズ	徳間書店	1836	2013-05-30
オートマトン言語理論 計算論	J. ホップクロフト (著), J. ウルマン (著), R. モトワニ (著), John E. Hopcroft (原著), Jeffrey D. Ullman (原著), Rajeev Motwani (原著), 野崎 昭弘 (翻訳), 町田 元 (翻訳), 高橋 正子 (翻訳), 山崎 秀記 (翻訳)	サイエンス社	2160	2005-11-25
物理のエッセンス　力学・波動(河合塾シリーズ)	浜島 清利	河合出版	907	2013-04-01
エイジ	重松清	新潮文庫	724	2004-07-01
バーティミアス 3 プトレマイオスの門	ジョナサン・ストラウド	理論社	1900	2005-12-08
虹の橋	unknown	佼成出版社	1512	2007-06-30
Landreaall	おがきちか	一迅社	552	2003-03-26
アーヤと魔女	ダイアナ・ウィン・ジョーンズ	徳間書店	1836	2012-07-11
オートマトン言語理論 計算論〈1〉	J. ホップクロフト, J. ウルマン,R.モトワニ,野崎 昭弘,町田 元,高橋 正子,山崎 秀記	サイエンス社	3024	2003-04-01
九つの、物語	橋本紡	NoData	699	2014-04-28
ホームレス中学生	田村裕	ワニブックス	535	2007-08-31
新・人間革命 (第1巻)	池田大作	聖教新聞社	823	2003-07-01
新書源	二玄社編集部	二玄社	6264	2009-12-01
Beautiful Visualization	Julie Steele, Noah Iliinsky	オライリージャパン	4104	2011-10-26
地獄堂霊界通信 2: 完全版, 第 2 巻	香月日輪	講談社	900	2009-04-07
霧が晴れた時	小松左京	角川書店	720	1993-07-01
オイラーの贈物―人類の至宝eiπ=-1を学ぶ	吉田武	東海大学出版会	1944	2010-01-23
やさしいみんなの秩父学―ちちぶ学検定公式テキスト	千嶋 壽	さきたま出版会	1905	2007-04-01
罪と罰(上)	ドストエフスキー	新潮文庫	802	1987-06-09
大学編入試験対策 編入数学過去問特訓 ――入試問題による徹底演習――	桜井基晴	聖文新社	2800	2012-03-01
キタミ式イラストIT塾 基本情報技術者 平成25年度	きたみりゅうじ	技術評論社	1980	2012-12-20
すべての人に知っておいてほしい グラフィックデザインの基本原則	フレア編, 大里浩二監修	エムディエヌコーポレーション	2500	2012-06-26
ドグラ・マグラ	夢野久作	イーストプレス	596	2008-10-01
ハイキュー!!	古舘春一	集英社	432	2013-03-09
風が強く吹いている　１巻	海野そら太	集英社	378	2008-03-19
レインツリーの国	有川浩	新潮社	464	2009-06-27
ぼく、ドラえもんでした。涙と笑いの26年打ち明け話	大山のぶ代	小学館	1500	2006-05-26
名探偵コナン　異次元の狙撃手	水稀しま	小学館	700	2014-04-17
進撃の巨人（13）	諫山創	講談社	429	2014-04-09
ルーズヴェルト・ゲーム	池井戸潤	講談社	864	2014-03-14
ダイン・フリークス D.Y.N.FREAKS 1	鋼屋ジン,空十雲	富士見書房	626	2013-08-08
黒死館殺人事件	小栗 虫太郎	イースト・プレス	596	2010-10-01
アイデアのつくり方	ジェームス・Ｗ・ヤング	阪急コミュニケーションズ	800	1988-04-08
ノーゲーム・ノーライフ1 ゲーマー兄妹がファンタジー世界を征服するそうです	榎宮 祐	MF文庫J	500	2012-04-30
三毛猫ホームズの怪談	赤川次郎	光文社	552	1985-03-20
ぼっけえ、きょうてえ	岩井志麻子	角川	514	2002-07-10
The Legend of Zelda: Hyrule Historia	Akira Himekawa,Shigera Miyamotol	Dark Horse Comics	3895	2013-01-29
アルシャードセイヴァー	井上純一／菊池たけし／F.E.A.R.	エンターブレイン	800	2012-07-30
Java逆引きレシピ	竹添直樹,高橋和也,織田翔,	翔泳社	3024	2014-04-22
ノーゲーム・ノーライフ２　ゲーマー兄妹が獣耳っ子の国に目をつけたようです	榎宮 祐	MF文庫J	500	2012-09-25
小説 言の葉の庭	新海誠	KADOKAWA/メディアファクトリー	1620	2014-04-11
フラッシュ	カール ハイアセン	理論社	1490	2006-04-01
かぎ針で編む 黒ゆきこの花モチーフパターン(朝日オリジナル）	黒ゆきこ	朝日新聞出版	1620	2011-06-30
ルパン三世VS名探偵コナン THE MOVIE	水稀しま	小学館	700	2013-12-05
お料理 基本のき ~レシピ本には載っていない128のこと~ (ミニCookシリーズ)	ミニCook制作班	ワニブックス	926	2014-04-01
ローワンと魔法の地図	エミリー ロッダ	あすなろ書房	1300	2000-08-01
神は数学者か	Mario Livio、千葉 敏生	早川書房	2484	2011-10-21
Ｃ言語	河西朝雄	ナツメ社	1750	1990-05-01
理由(わけ)あって冬に出る	似鳥鶏	東京創元社	626	2007-07-01
ネコソギラジカル（上） 十三階段	西尾維新	講談社ノベルズ	1134	2005-02-05
シバトラ(1)	朝基まさし，安童夕馬	講談社	400	2007-05-17
ノーゲーム・ノーライフ３　ゲーマー兄妹の片割れが消えたようですが……？	榎宮 祐	MF文庫J	580	2013-01-25
終電へ三〇歩	赤川次郎	中央公論新社	1620	2014-02-25
CGのための物理シミュレーションの基礎	藤澤誠	マイナビ	3110	2013-11-29
ビタミンF	重松清	新潮社	594	2000-08-01
ソラニン	浅野いにお	小学館	545	2005-12-05
ヒナギク野のマーティン・ピピン	エナリー・ファージョン,石井桃子	岩波書店	2300	1974-12-06
名探偵コナン　８１	青山剛昌	小学館	463	2013-11-18
基礎からのMySQL 改訂版(プログラマの種シリーズ SE必修! )	西沢 夢路	ソフトバンククリエイティブ	3218	2005-05-01
現代忍術バトルRPG シノビガミ －忍神－	河嶋陶一朗／冒険企画局	新紀元社	1200	2009-05-29
4TEEN	石田衣良	新潮社	1512	2003-05-22
死神くん 1	えんどコイチ	集英社	756	2002-08-09
ベクトル・行列・行列式 徹底演習	林義実	森北出版	2052	2002-06-01
一週間フレンズ。 (5)	葉月抹茶	スクウェア・エニックス	514	2014-03-22
罪と罰	ドストエフスキー	イーストプレス	596	2007-10-01
明解演習 線形代数	小寺平治	共立出版	2200	1982-07-01
LINEでビジネスとコミュニケーションを加速する方法	松浦法子	ソーテック社	1480	2014-03-14
アルゴリズムパズループログラマのための数学パズル	Anany Levitin (著), Maria Levitin (著), 黒川 洋 (翻訳), 松崎 公紀 (翻訳)	オライリージャパン	3240	2014-04-26
夜と霧 新版	ヴィクトール・E・フランクル, 池田 香代子	みすず書房	1620	2002-11-06
シバトラ(2)	朝基まさし,安童夕馬	講談社	400	2007-07-17
三毛猫ホームズの騎士道	赤川次郎	光文社	571	1986-10-20
ウェブとはすなわち現実世界の未来図である	小林 弘人	PHP研究所	821	2014-03-15
名探偵コナン　８２	青山剛昌	小学館	463	2014-01-17
モダンタイムス　上	伊坂幸太郎	講談社	562	2011-10-01
アジアンパンクRPG サタスペ	河嶋陶一朗と速水螺旋人と暗転丸と池田朝佳とイケダサトシと泉信行と魚蹴と岡野繁浩と齋藤高吉とdczとぺらねこと吉井徹, 冒険企画局	新紀元社	3800	2008-12-23
粒子法	越塚誠一	丸善出版	5400	2005-02-01
よつばと! 12	あずま きよひこ	アスキー・メディアワークス	648	2013-03-09
義経<上>	司馬遼太郎	文藝春秋	720	2004-02-10
ソードアート・オンライン(14) アリシゼーション・ユナイティング	川原礫	アスキー・メディアワークス	637	2014-04-10
とまらない	三浦知良	新潮社	734	2014-03-15
開発のプロが教える標準Django完全解説―Webアプリケーションフレームワーク (デベロッパー・ツール・シリーズ)	増田 泰, 中居 良介, 露木 誠, 松原 豊	アスキー・メディアワークス	4200	2008-06-19
新編高専の数学1問題集　第2版	田代 嘉宏	森北出版	918	2000-11-01
英文解釈教室　改訂版	伊藤和夫	研究社	1500	1997-06-01
TOEICテスト新公式問題集〈Vol.5〉	Educational Testing Service	国際ビジネスコミュニケーション協会	3024	2012-06-01
コバルトブルーのパンフレット : 文庫オリジナル : 長編青春ミステリー	赤川次郎	光文社	596	2010-09-09
百舌の叫ぶ夜	逢坂剛	集英社	778	1990-07-20
吉祥寺の朝日奈くん	中田永一	祥伝社	669	2012-12-12
名探偵コナン　８３	青山剛昌	小学館	463	2014-04-18
ふる	西　加奈子	河出書房新社	1512	2012-12-07
自重筋トレ100の基本	比嘉一雄	エイ出版社	756	2013-05-21
アナと雪の女王	サラ・ネイサンシーラ・ローマン	竹書房文庫	700	2014-04-28
1駅1題 新TOEIC TEST文法特急	花田徹也	朝日新聞出版	821	2009-10-07
未来をつくる図書館―ニューヨークからの報告	菅谷明子	岩波書店	821	2003-09-20
GitHub実践入門 ~Pull Requestによる開発の変革	大塚弘記	技術評論社	2780	2014-03-20
戦力外捜査官 姫デカ・海月千波	似鳥 鶏	河出書房新社	637	2013-10-08
京大芸人	菅広文	講談社	1512	2008-10-30
ディズニーランドの秘密	有馬哲夫	新潮社	756	2011-07-15
基礎からわかる Go言語	古川昇	シーアンドアール研究所	2376	2012-11-21
よつばと! (1)	あずま きよひこ	メディアワークス	648	2003-08-27
猫のプシュケ	Goosehouse	TOブックス	1404	2013-06-25
みんなのPython 第3版	柴田 淳	ソフトバンククリエイティブ	2800	2012-08-29
After Effects逆引きデザイン事典	高木和明	翔泳社	3672	2014-04-10
ロウきゅーぶ！(14)	蒼山サグ	アスキー・メディアワークス	680	2014-03-08
カラスの教科書	松原始	雷鳥社	1728	2012-12-19
大学編入試験問題 数学/徹底演習(第3版)-微分積分/線形代数/応用数学/確率	林 義実,小谷 泰介	森北出版	2808	2013-11-26
パラレルワールドラブストーリー	東野圭吾	講談社文庫	802	2014-04-28
マリアビートル	伊坂幸太郎	角川	780	2014-04-28
民王	池井戸潤	文藝春秋	620	2013-06-07
勝つための現代麻雀技術論	ネマタ,福地誠	洋泉社	1296	2014-04-09
よみがえる百舌	逢坂 剛	集英社	907	1999-11-19
働かないオジサンの給料はなぜ高いのか―人事評価の真実―	楠木新	新潮社	778	2014-04-17
サークル・オブ・マジック１ 魔法の学校	デブラ・ドイル，ジェームズ・D・マクドナルド	小学館	1800	2002-11-20
生きてるだけで、愛	本谷　有希子	新潮文庫	400	2009-03-01
偶像崇拝殺人事件	赤川次郎	角川書店	950	2014-01-08
オーボエとの「時間」	宮本 文昭	時事通信出版局	1700	2007-04-01
チャーリーとチョコレート工場の秘密	ロアルド・ダール	Alfred A. Knopf, Inc.	1200	1964-01-01
一九八四年	ジョージ・オーウェル	早川書房	929	1972-02-01
片付けたくなる部屋づくり ~古い2Kをすっきり心地よく住みこなす「片付けのプロ」の暮らしテクニック65~ (美人開花シリーズ)	本多　さおり	ワニブックス	1296	2012-12-10
星が吸う水	村田　沙耶香	講談社文庫	524	2013-02-15
ご注文はうさぎですか？(3)	Koi	芳文社	885	2014-03-27
砂糖菓子の弾丸は撃ちぬけない A Lollypop or A Bullet	桜庭一樹	角川グループパブリッシング	514	2009-02-25
M&Aのファンタジー	田口 宏雄	創英社	1944	2014-05-12
道は開ける　新装版	デール・カーネギー	創元社	1728	1999-10-20
ムンジャクンジュは毛虫じゃない	岡田淳	偕成社	1296	1979-08-01
テルマエ・ロマエ2	伊豆 平成,ヤマザキマリ,橋本 裕志	角川文庫	605	2014-04-25
小説版 魔法少女まどか☆マギカ 上	一肇	星海社文庫	690	2013-10-17
小説版 魔法少女まどか☆マギカ 下	一肇	星海社文庫	720	2013-10-17
やさしく学べる線形代数	石村 園子	共立出版	2160	2000-10-25
線形代数の世界―抽象数学の入り口 (大学数学の入門)	斎藤 毅	東京大学出版会	3024	2007-10-01
もものかんづめ	さくらももこ	集英社	825	2001-03-01
幸福な食卓	瀬尾まいこ	講談社	1512	2004-11-20
世界でいちばん長い写真	誉田哲也	光文社	1365	2014-04-28
半分の月がのぼる空〈下〉	橋本紡	アスキーメディアワークス	1680	2010-05-01
日本男児	長友 佑都	ポプラ文庫	648	2014-05-11
イン・ザ・プール	奥田英朗	文藝春秋	505	2006-03-10
オレたちバブル入行組	池井戸 潤	文藝春秋	657	2007-12-06
花の鎖	湊 かなえ	文藝春秋	590	2013-09-03
ベン・トー12　デザートバイキングプライスレス	アサウラ	集英社	702	2014-02-25
珈琲店タレーランの事件簿3　心を乱すブレンドは	岡崎琢磨	宝島社	702	2014-03-24
いとみち	越谷オサム	新潮社	637	2013-10-28
ふくわらい	西加奈子	朝日新聞出版	1620	2012-08-01
オレの宇宙はまだまだ遠い	益田ミリ	講談社	1200	2012-07-23
「弱くても勝てます」：開成高校野球部のセオリー	高橋秀実	新潮文庫	1404	2012-09-28
伊藤潤二傑作集11: 潰談	伊藤潤二	朝日新聞出版	1188	2013-08-20
もう年はとれない	ダニエル・フリードマン, 野口 百合子	東京創元社	1123	2014-08-22
夜の写本師	乾石 智子	東京創元社	886	2011-04-28
アルゴリズムの基礎	大森克史，木村春彦，広瀬 貞樹	共立出版	2400	1997-02-01
言語哲学入門	服部裕幸	勁草書房	2800	2003-03-01
ファスト＆スロー 上──あなたの意思はどのように決まるか？	ダニエル・カーネマン	早川書房	2100	2012-11-22
マルドゥック・スクランブル	冲方　丁	早川書房	2052	2010-09-24
ちゃんとCSSするためのスタイルガイド入門 (スタイルシートスタイルブック (2))	長谷川恭久，上ノ郷谷太一，有坂陽子	翔泳社	2376	2006-12-13
ボボボーボ・ボーボボ(2)	澤井啓夫	集英社	410	2001-09-09
ボボボーボ・ボーボボ(3)	澤井啓夫	集英社	410	2001-12-09
ボボボーボ・ボーボボ(4)	澤井啓夫	集英社	410	2002-03-09
万物理論	グレッグ・イーガン 著, 山岸真 訳.	東京創元社	1200	2004-10-01
効率的なサイト制作のためのDreamweaverの教科書	鷹野雅弘	毎日コミュニケーションズ	2604	2010-08-10
影法師	百田尚樹	講談社	700	2012-06-15
入門 React――コンポーネントベースのWebフロントエンド開発	宮崎 空	オライリー・ジャパン	2808	2015-04-01
ルールを変える思考法 (角川EPUB選書)	川上量生	KADOKAWA	1400	2013-10-10
Rubyによるクローラー開発技法	るびきち,佐々木拓郎	SBクリエイティブ	2980	2014-08-25
The Concise Oxford Dictionary of Linguistics (Oxford Paperback Reference)	P. H. Matthews	Oxford Univ Pr	2188	2014-05-13
AngularJSアプリケーション開発ガイド	牧野 聡	オライリー・ジャパン	2592	2014-04-01
理科系の作文技術	木下是雄	中央公論社	480	1981-09-01
Backbone.jsアプリケーション開発ガイド	牧野 聡	オライリー・ジャパン	3672	2014-02-01
デジタル人工知能学事典	人工知能学会	共立出版	12960	2015-04-27
PHPサイバーテロの技法―攻撃と防御の実際	GIJOE	ソシム	1944	2005-11-01
男子ごはんの本 その7	国分 太一	M.Co.	1000	2015-04-20
情報検索と言語処理 (言語と計算)	徳永 健伸, 辻井 潤一	東京大学出版会	4104	1999-11-01
メディアリテラシー論	中島雄	北樹出版	2200	2014-04-15
アーキテクチャの生態系	濱野智史	NTT出版	2052	2008-10-27
三人暮らし	群ようこ	角川書店	605	2012-10-25
魔人探偵脳噛ネウロ 第1巻	松井優征	集英社	421	2005-07-04
協同学習の技法　大学教育の手引き	E．F．Barkley, K．P．Cross,C．H．Major 著, 安永 悟 監訳	ナカニシヤ出版	3500	2009-08-01
筑波山から学ぶ - 『とき』を想像する	前川啓治	筑波大学出版会	3132	2015-01-21
ボクには世界がこう見えていた―統合失調症闘病記	小林 和彦	新潮社	637	2011-10-28
人類最強の初恋	西尾維新	講談社	800	2015-04-23
Effective JavaScript JavaScriptを使うときに知っておきたい68の冴えたやり方	David Herman (著), 吉川 邦夫 (監修, 翻訳)	翔泳社	3200	2013-02-19
てーきゅう	ルーツ,Piyo	アース・スター エンターテイメント	643	2012-08-11
スロウハイツの神様（上）	辻村深月	講談社	713	2010-01-15
ローワンとゼバックの黒い影	エミリー ロッダ	あすなろ書房	1512	2015-04-27
東方鈴奈庵　～ Forbidden Scrollery. (1)	ZUN,春河もえ	一迅社	821	2013-03-16
タイタンの妖女	カート・ヴォネガット・ジュニア	早川書房	821	2009-02-25
となり町戦争	三崎亜記	集英社文庫	480	2006-12-15
一瞬の風になれ 第一部 -イチニツイテ-	佐藤 多佳子	講談社	1512	2006-08-26
子どもはみんな問題児。	中川　李枝子	新潮社	1080	2015-03-01
さくら	西加奈子	小学館	1512	2005-02-23
初めてのPython 第2版	Mark Lutz,David Ascber,夏目 大	オーム社	1680	2004-11-22
大延長	堂場瞬一	実業之日本社	740	2011-06-04
スマホ白書2015　グローバル競争時代を勝ち抜く！　スマートフォン市場新成長戦略	一般社団法人モバイル・コンテンツ・フォーラム	インプレスR&D	3132	2015-04-29
バーティミアス (1) サマルカンドの秘宝	ジョナサン・ストラウド(作), 金原瑞人,松山美保(訳)	理論社	1900	2003-12-13
開眼! JavaScript ―言語仕様から学ぶJavaScriptの本質	Cody Lindley (著), 和田 祐一郎 (翻訳)	オライリージャパン	2376	2013-06-19
蒼空時雨	綾崎 隼	アスキーメディアワークス	616	2010-01-25
一瞬の風になれ 第二部 -ヨウイ-	佐藤多佳子	講談社	1512	2006-09-22
ゲームプログラマになる前に覚えておきたい技術	平山 尚	秀和システム	4860	2008-11-15
殺す	西澤保彦	幻冬舎	741	2011-10-12
三びきのやぎのがらがらどん	瀬田 貞二	福音館書店	1100	1965-07-01
早雲の軍配者	富樫 倫太郎	中央公論新社	1836	2010-02-01
はるなつあきふゆ	ディック・ブルーナ著,まつおかきょうこ訳	福音館書店	700	2015-04-10
日日べんとう	佐野未央子	集英社	607	2012-12-25
都会のトム＆ソーヤ（１２）IN THE ナイト	はやみねかおる	講談社	950	2015-03-12
世界のじゃがいも料理	誠文堂新光社 編	誠文堂新光社	2800	2015-03-10
My Little Pony: Twilight Sparkle and the Crystal Heart Spell	G.M. Berrow	Little, Brown Books for Young Readers	762	2013-04-02
数奇にして模型	森博嗣	講談社	1018	2001-06-13
マスカレード・ホテル	東野圭吾	集英社	1700	2011-09-09
